GCSE_County,Total_children_2018,Total_children_2024,Weighted_percentage_2018_gcse,Weighted_percentage_2024_gcse
Aberdeen City,4401.0,3637.0,0.16455305612360827,0.12949931262029143
Aberdeenshire,4272.0,3625.0,0.10313459737827715,0.08498344827586207
Adur,1356.0,1509.0,0.13026696165191742,0.14985089463220677
Angus,2814.0,2444.0,0.1612366737739872,0.1574238952536825
Argyll and Bute,1802.0,1451.0,0.14810377358490565,0.12279531357684355
Arun,3226.0,3719.0,0.13451115933044017,0.1608327507394461
Ashford,3592.0,3981.0,0.15834771714922052,0.17272243154986183
Babergh,1973.0,2193.0,0.14085707045108972,0.15903511171910625
Barking and Dagenham,10791.0,12650.0,0.18835260865536094,0.22638845849802375
Barnet,7935.0,9097.0,0.11527977315689983,0.13350203363746288
Basildon,5829.0,6553.0,0.17776960027448963,0.19405417366091868
Basingstoke and Deane,2667.0,3538.0,0.08703487064116985,0.11404578858111927
Bath and North East Somerset,2638.0,3157.0,0.09759704321455646,0.11814127336078555
Bedfordshire,24231.0,29244.0,0.22955709628162277,0.2637486663931063
Bexley,5312.0,5918.0,0.11481513554216868,0.13100811084825956
Blaenau Gwent,2785.0,3232.0,0.24723698384201076,0.2826986386138614
"Bournemouth, Christchurch and Poole",7632.0,9176.0,0.12617911425576522,0.15383947253705318
Bracknell Forest,1822.0,2128.0,0.08679034028540066,0.0989234022556391
Braintree,3265.0,3892.0,0.12291516079632465,0.14494630010277493
Breckland,3514.0,4389.0,0.16063261240751284,0.19946844383686488
Brent,9136.0,11044.0,0.13650065674255693,0.1781406193408185
Brentwood,1202.0,1288.0,0.09333943427620632,0.09897437888198758
Bridgend,4167.0,4915.0,0.17569546436285097,0.21422706002034586
Brighton and Hove,5081.0,4908.0,0.13134028734501085,0.14317359413202937
"Bristol, City of",14027.0,16197.0,0.20764447137663078,0.25887034636043715
Broadland,2230.0,2620.0,0.11115112107623319,0.13029083969465646
Bromley,5183.0,5354.0,0.09117634574570711,0.10383190138214418
Broxbourne,2210.0,2436.0,0.1185398190045249,0.1325008210180624
Buckinghamshire,10450.0,12250.0,0.13547789473684213,0.161569306122449
Caerphilly,6348.0,6717.0,0.2014910207939509,0.22341119547417
Cambridge,2268.0,2409.0,0.13439241622574954,0.13589580738895804
Cambridgeshire,11043.0,14114.0,0.30442443176673,0.3416719569222049
Camden,4679.0,5472.0,0.16315793973071172,0.22155281432748533
Canterbury,3272.0,3893.0,0.14046974327628362,0.16448445928589778
Cardiff,12252.0,13501.0,0.23148857329415604,0.25857654988519363
Carmarthenshire,6060.0,6785.0,0.19589405940594062,0.2225469417833456
Castle Point,1899.0,2093.0,0.13716745655608215,0.15466602962255135
Ceredigion,2110.0,2358.0,0.21191090047393368,0.24633078880407128
Chelmsford,3024.0,3388.0,0.09939120370370372,0.10861835891381347
Cheltenham,2418.0,3013.0,0.15843837882547562,0.21012545635579155
Cherwell,2952.0,3443.0,0.12546815718157184,0.13696979378449026
Cheshire,23191.0,29763.0,0.1483324996765987,0.19449148271343616
Chichester,1908.0,2352.0,0.10633280922431866,0.1329077380952381
City of Edinburgh,8056.0,7428.0,0.11923783515392253,0.11395247711362412
Clackmannanshire,1640.0,1544.0,0.19049268292682928,0.18896113989637303
Colchester,4090.0,5062.0,0.12957188264058678,0.15541821414460688
Conwy,3229.0,3746.0,0.18305574481263545,0.21939855846235987
Cornwall,15448.0,18199.0,0.17501385292594515,0.20771190724765098
Cotswold,1284.0,1457.0,0.09759890965732086,0.11433356211393274
County Durham,24986.0,31179.0,0.2207617465780837,0.27942121299592676
Crawley,3250.0,4650.0,0.14302707692307692,0.20152559139784948
Croydon,9853.0,12330.0,0.12991170201968943,0.17289537712895375
Cumbria,11941.0,14095.0,0.1611657315132736,0.20246888967719048
Dacorum,2886.0,3322.0,0.11281704781704781,0.12773239012642987
Dartford,2820.0,3530.0,0.14022659574468083,0.1590362606232294
Denbighshire,2777.0,3667.0,0.1828091465610371,0.25645432233433324
Derbyshire,31892.0,39239.0,0.23155992098331868,0.2697418384770254
Dorset,6958.0,8363.0,0.12738301235987354,0.15543417433935192
Dover,3478.0,4026.0,0.1953438757906843,0.22033556880278193
Dumfries and Galloway,3885.0,3397.0,0.1729263835263835,0.15933676773623787
Dundee City,4230.0,3548.0,0.1958931442080378,0.16497012401352873
Ealing,8874.0,10126.0,0.1334949290060852,0.16124718546316413
East Ayrshire,3853.0,3240.0,0.1935452893848949,0.170458024691358
East Cambridgeshire,1516.0,1754.0,0.09387269129287598,0.11490022805017104
East Devon,2801.0,3252.0,0.1340760442699036,0.15439206642066422
East Dunbartonshire,1481.0,1244.0,0.08790749493585413,0.07239790996784566
East Hampshire,1700.0,2099.0,0.08940588235294117,0.10831348261076704
East Hertfordshire,1790.0,2134.0,0.06691675977653631,0.07935192127460168
East Lothian,2293.0,1834.0,0.1278512865242041,0.0964492911668484
East Renfrewshire,1483.0,1325.0,0.09833917734322319,0.08062264150943396
East Riding of Yorkshire,22806.0,27602.0,0.2681388669648338,0.3180712629519601
East Suffolk,5863.0,7317.0,0.16824833702882486,0.21897252972529724
Eastbourne,2647.0,2921.0,0.15821118247072155,0.17767750770284152
Eastleigh,1989.0,2540.0,0.08923931623931626,0.10733346456692913
Elmbridge,1391.0,1660.0,0.058888569374550684,0.07334397590361447
Enfield,9744.0,10509.0,0.14268811576354679,0.1690636597202398
Epping Forest,2602.0,2957.0,0.11732321291314372,0.13427832262428138
Epsom and Ewell,865.0,1021.0,0.06721387283236993,0.07919784524975514
Essex,10916.0,12908.0,0.16582960791498716,0.19313572977998142
Exeter,2472.0,2837.0,0.14002224919093847,0.16094536482199506
Falkirk,4154.0,3806.0,0.15861049590755896,0.15040331056227008
Fareham,1487.0,1644.0,0.08641223940820444,0.10393856447688568
Fenland,3310.0,4109.0,0.20318036253776436,0.24823874422000486
Fife,10935.0,8913.0,0.18752437128486513,0.159187927745989
Flintshire,3928.0,4572.0,0.16740096741344196,0.1995444006999125
Folkestone and Hythe,2844.0,3467.0,0.17119479606188467,0.20641995961926735
Forest of Dean,1976.0,2608.0,0.1475571862348178,0.1939171779141104
Glasgow City,23298.0,21278.0,0.2645864881105674,0.24311664630134416
Gloucester,4092.0,5066.0,0.1910662267839687,0.23898835373075403
Gosport,2008.0,2351.0,0.14606523904382468,0.18345852828583584
Gravesham,3456.0,3899.0,0.17386863425925925,0.1940459092074891
Great Yarmouth,3739.0,4520.0,0.23964322011232952,0.3056471238938054
Greater Manchester,130266.0,166197.0,0.29301803233384,0.35377360000481356
Greenwich,9060.0,10441.0,0.16162008830022076,0.19709223254477543
Guildford,1743.0,1958.0,0.08437923121055652,0.10341981613891726
Gwynedd,3691.0,3899.0,0.20473801137903008,0.22631341369581945
Hackney,8381.0,10383.0,0.15850029829375972,0.22008070885100645
Hammersmith and Fulham,2833.0,3334.0,0.1160758912813272,0.14502369526094783
Haringey,7461.0,8003.0,0.16715065004691063,0.19871760589778834
Harlow,2997.0,3843.0,0.16231631631631632,0.20004970075461878
Harrow,5569.0,7287.0,0.1169188364158736,0.15384451763414297
Hart,1064.0,1154.0,0.06228195488721804,0.06583882149046794
Hastings,3337.0,3690.0,0.20925082409349716,0.24801192411924122
Havant,3102.0,3829.0,0.16064732430689874,0.2009166884303996
Havering,5679.0,6755.0,0.12296443035745729,0.14219245003700962
Herefordshire,4540.0,5438.0,0.16000286343612335,0.20234130194924607
Hertsmere,1728.0,2161.0,0.08912037037037036,0.11242480333179085
Highland,5031.0,4514.0,0.13644444444444445,0.1287233052724856
Hillingdon,7468.0,9350.0,0.12903334226031068,0.16453550802139033
Horsham,1710.0,2230.0,0.07336608187134502,0.0911322869955157
Hounslow,7098.0,8641.0,0.12873908143138912,0.15837194769123944
Huntingdonshire,3390.0,3934.0,0.12123893805309735,0.13242984239959327
Inverclyde,1613.0,1589.0,0.13146435213887167,0.13825424795468852
Ipswich,6035.0,6990.0,0.2337814415907208,0.28168140200286124
Isle of Anglesey,2252.0,2518.0,0.200892539964476,0.23164892772041304
Isle of Wight,3634.0,4303.0,0.18164281783159053,0.22004369044852426
Islington,4441.0,5634.0,0.13563566764242288,0.18118654597089104
Kensington and Chelsea,1563.0,1741.0,0.10584964811260397,0.12186272257323379
King's Lynn and West Norfolk,4422.0,5056.0,0.18813681592039805,0.21331803797468354
Kingston upon Thames,2467.0,2557.0,0.08667126064045398,0.09379859210011732
Lambeth,7450.0,7693.0,0.14714134228187922,0.17481736643702067
Lancashire,58325.0,74322.0,0.2824587055293613,0.34407124404617745
Leicestershire,38653.0,45280.0,0.25930155485990736,0.29219617932862196
Lewes,1761.0,1908.0,0.10963202725724021,0.12386687631027253
Lewisham,8247.0,8589.0,0.14254371286528433,0.16012865292816397
Lincolnshire,34891.0,43408.0,0.21792416382448196,0.27355651032067824
Maidstone,3749.0,4829.0,0.1351555081355028,0.15401822323462416
Maldon,1250.0,1398.0,0.127176,0.1349463519313305
Medway,8333.0,9841.0,0.1592494899795992,0.18653754699725633
Merseyside,44166.0,58909.0,0.2137671964859847,0.28064409512977645
Merthyr Tydfil,2437.0,2613.0,0.22466187935986873,0.23998124760811324
Merton,4702.0,4795.0,0.14223032752020418,0.15336350364963508
Mid Devon,2054.0,2233.0,0.15075705939629988,0.15934258844603671
Mid Suffolk,1965.0,2200.0,0.12507531806615776,0.1374236363636364
Mid Sussex,1719.0,2118.0,0.06609249563699826,0.07750236071765818
Midlothian,2124.0,1967.0,0.12901930320150662,0.11229740721911541
Milton Keynes,8835.0,10066.0,0.1689129598189021,0.19321011325253326
Mole Valley,1007.0,1071.0,0.07638430983118172,0.09063492063492064
Monmouthshire,1807.0,1928.0,0.1477399003873824,0.15730238589211618
Moray,2208.0,2100.0,0.13802038043478262,0.13829809523809525
Na h-Eileanan Siar,448.0,424.0,0.11001339285714286,0.11262028301886792
Neath Port Talbot,4244.0,5054.0,0.1810339302544769,0.22326691729323306
New Forest,2864.0,3292.0,0.10992074022346367,0.1296570473876063
Newham,15114.0,17350.0,0.20414635437342857,0.24423210374639767
Newport,6371.0,7688.0,0.255465390048658,0.28536524453694073
North Ayrshire,4330.0,3502.0,0.19722217090069283,0.1692552826956025
North Devon,2694.0,3088.0,0.17511692650334076,0.20258937823834197
North Hertfordshire,2334.0,2530.0,0.09975664095972579,0.11511462450592885
North Lanarkshire,11162.0,9147.0,0.18528856835692525,0.1603678801792938
North Norfolk,2353.0,2874.0,0.1687862303442414,0.21656610995128742
North Somerset,4153.0,4937.0,0.13329496749337827,0.16111099858213493
North Yorkshire,36259.0,43771.0,0.22368846355387625,0.27629201983048135
Northamptonshire,21330.0,26042.0,0.16702461322081577,0.19690196605483448
Northumberland,8786.0,10430.0,0.2020697700887776,0.24880038350910827
Norwich,5032.0,6010.0,0.2225298092209857,0.28391663893510816
Nottinghamshire,39500.0,48647.0,0.23960850632911393,0.2902150183978457
Orkney Islands,416.0,367.0,0.13864663461538462,0.1247057220708447
Oxford,2965.0,3558.0,0.13048971332209108,0.17316779089376055
Pembrokeshire,4330.0,4732.0,0.2248517321016166,0.24298732037193582
Perth and Kinross,3117.0,2560.0,0.14299422521655442,0.125506640625
Plymouth,7678.0,9065.0,0.18752891377963013,0.2275448428019857
Portsmouth,6428.0,7536.0,0.19321950840074675,0.22884660297239914
Powys,3825.0,3953.0,0.19542588235294114,0.20418011636731598
Reading,3897.0,4916.0,0.12795047472414678,0.16352034174125307
Redbridge,9482.0,11106.0,0.14621155874288128,0.18414766792724652
Reigate and Banstead,2138.0,2482.0,0.08201262862488308,0.08914987912973407
Renfrewshire,4085.0,3677.0,0.15010257037943697,0.1381256459069894
Rhondda Cynon Taf,8925.0,9986.0,0.22198834733893552,0.2567091928700181
Richmond upon Thames,1835.0,1832.0,0.0604,0.06108133187772926
Rochford,1394.0,1559.0,0.1041219512195122,0.1107812700449006
Rother,1994.0,2285.0,0.15733751253761283,0.1799072210065645
Runnymede,1178.0,1444.0,0.08700933786078098,0.1018157894736842
Rushmoor,1730.0,2147.0,0.09893757225433525,0.11911644154634374
Rutland,508.0,707.0,0.08670472440944882,0.11943705799151343
Scottish Borders,2586.0,2275.0,0.1468847641144625,0.13487296703296703
Sevenoaks,2252.0,2456.0,0.11613987566607462,0.12280944625407164
Shetland Islands,328.0,298.0,0.0813170731707317,0.08042953020134228
Shropshire,13290.0,17518.0,0.17307276147479306,0.230479678045439
Slough,5814.0,7759.0,0.1606795665634675,0.21087756154143575
Somerset,13161.0,15784.0,0.14572950383709443,0.17445400405473896
South Ayrshire,2678.0,2303.0,0.16824794622852873,0.14740425531914894
South Cambridgeshire,2537.0,2627.0,0.09218446984627514,0.08592843547773125
South Gloucestershire,4787.0,5815.0,0.10011698349697097,0.11776061908856404
South Hams,1660.0,1823.0,0.13529216867469882,0.14229347229840922
South Lanarkshire,7814.0,6608.0,0.14930496544663424,0.12821080508474575
South Norfolk,2577.0,3079.0,0.11648661233993018,0.13234101981162713
South Oxfordshire,1796.0,2093.0,0.07438864142538976,0.08640993788819876
South Yorkshire,57948.0,70808.0,0.27864978946641816,0.33137872839227206
Southampton,7497.0,9471.0,0.18547872482326266,0.2377304402914159
Southwark,7810.0,8829.0,0.1547980793854033,0.19569905991618528
Spelthorne,1430.0,2041.0,0.08226783216783216,0.11170553650171487
St Albans,2372.0,2279.0,0.09559232715008431,0.0998047389205792
Staffordshire,36289.0,46824.0,0.24095307117859407,0.2954757175807279
Stevenage,2585.0,2788.0,0.14779729206963246,0.1580053802008608
Stirling,1800.0,1571.0,0.1429627777777778,0.128008911521324
Stroud,2229.0,2656.0,0.11814490803050696,0.13620519578313253
Surrey Heath,1140.0,1356.0,0.08111403508771929,0.10400884955752214
Sutton,3491.0,4301.0,0.09067315955313664,0.10919623343408512
Swale,4206.0,5012.0,0.15719781264859722,0.18048503591380685
Swansea,7130.0,7796.0,0.20505904628330995,0.21908594150846586
Swindon,5880.0,7205.0,0.1497904761904762,0.18398043025676614
Tandridge,1202.0,1462.0,0.08555490848585692,0.10344528043775651
Teignbridge,2817.0,3281.0,0.1376915157969471,0.16115361170374887
Tendring,3778.0,4538.0,0.17470989941768134,0.22019215513442045
Test Valley,1777.0,2264.0,0.09147777152504219,0.11316342756183748
Tewkesbury,1787.0,2194.0,0.12374986010072749,0.1341814038286235
Thanet,5158.0,5568.0,0.2250443970531214,0.23666630747126433
Three Rivers,1402.0,1481.0,0.09238445078459341,0.09515867656988519
Tonbridge and Malling,2235.0,2906.0,0.09939821029082775,0.12562250516173434
Torbay,3714.0,4397.0,0.16961443187937533,0.2133145326358881
Torfaen,3104.0,3610.0,0.2019152706185567,0.22397783933518003
Torridge,2046.0,2308.0,0.19528494623655915,0.22783492201039865
Tower Hamlets,12043.0,14290.0,0.22017993855351653,0.2592524142757173
Tunbridge Wells,1846.0,2262.0,0.0908450704225352,0.11009416445623342
Tyne and Wear,40244.0,48485.0,0.247526687208031,0.2897802000618748
Uttlesford,1375.0,1413.0,0.08357527272727272,0.08502972399150742
Vale of Glamorgan,3074.0,3888.0,0.15497007156798956,0.19917412551440328
Vale of White Horse,1647.0,2310.0,0.0745142683667274,0.09667142857142856
Waltham Forest,10168.0,10334.0,0.17654445318646733,0.18994271337333077
Wandsworth,4335.0,6427.0,0.09779838523644753,0.1669606348218453
Warwickshire,12003.0,14287.0,0.1392495209530951,0.15996066354028138
Watford,2236.0,2788.0,0.11570751341681573,0.14047668579626973
Waverley,1286.0,1534.0,0.061682737169517894,0.07802737940026076
Wealden,2789.0,3074.0,0.11688849049838652,0.1308448275862069
Welwyn Hatfield,2109.0,2552.0,0.11000663821716453,0.13361559561128528
West Berkshire,2331.0,2892.0,0.08422265122265123,0.10465802213001385
West Devon,1308.0,1458.0,0.1579480122324159,0.17840329218106998
West Dunbartonshire,2822.0,2250.0,0.1841661941885188,0.1535648888888889
West Lothian,4854.0,4454.0,0.14329913473423983,0.14008801077682978
West Midlands,164827.0,199173.0,0.32098647066318026,0.3812290270267557
West Oxfordshire,1387.0,1840.0,0.07773395818312905,0.09909891304347825
West Suffolk,3436.0,4175.0,0.11479685681024447,0.14665844311377246
West Yorkshire,117693.0,142031.0,0.33240743289745345,0.39087770979574876
Westminster,2970.0,3338.0,0.11523030303030304,0.15957699221090474
Wiltshire,8570.0,11232.0,0.10308471411901984,0.13468999287749286
Winchester,1655.0,1959.0,0.08166646525679759,0.09612863705972435
Windsor and Maidenhead,2182.0,2292.0,0.08545462878093492,0.08851439790575916
Woking,1849.0,2118.0,0.11997674418604652,0.126076015108593
Wokingham,1917.0,2321.0,0.06265049556598852,0.07195303748384317
Worcestershire,14335.0,17312.0,0.16423257760725496,0.19658918669131237
Worthing,2164.0,2281.0,0.11981515711645101,0.12943533537921964
Wrexham,4296.0,4716.0,0.1925817039106145,0.2142847752332485
